id,keyword,cluster,intent,target_route,source,content_type,conversion_score,competition_guess,priority
"NEG-001","client asking for discount","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P1"
"NEG-002","client wants lower price","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-003","client says my price is too high","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P1"
"NEG-004","client asking for cheaper rate","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P1"
"NEG-005","client says budget is low","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P1"
"NEG-006","client negotiating price freelancer","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-007","client wants to pay less","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-008","client comparing freelancers price","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-009","client says other freelancer cheaper","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P1"
"NEG-010","client pushing for lower rate","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-011","client asking for price reduction","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P1"
"NEG-012","client requesting discount freelancer","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-013","how to respond to client discount request","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-014","how to respond to low offer client","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-015","how to reply when client says too expensive","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P1"
"NEG-016","freelancer negotiation script","negotiation-discount","price-objection-handling","/deal","user_seed","template","5","medium","P1"
"NEG-017","freelance price negotiation email","negotiation-discount","price-objection-handling","/deal","user_seed","template","5","low","P1"
"NEG-018","how to say no to client discount","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-019","how to negotiate freelance price","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-020","how to respond to budget objection","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P1"
"NEG-021","client wants cheaper quote","negotiation-discount","price-objection-handling","/deal","user_seed","guide","4","low","P2"
"NEG-022","how to respond when client asks for discount","negotiation-discount","price-objection-handling","/deal","programmatic_expand","guide","4","low","P2"
"NEG-023","how to respond when client says budget is low","negotiation-discount","price-objection-handling","/deal","programmatic_expand","guide","4","low","P1"
"NEG-024","how to respond when client compares freelancers","negotiation-discount","price-objection-handling","/deal","programmatic_expand","guide","4","low","P2"
"PRI-001","freelance pricing strategy","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-002","how to price freelance work","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","low","P2"
"PRI-003","how to charge clients freelancer","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","low","P2"
"PRI-004","freelance rate calculator","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","tool","5","medium","P1"
"PRI-005","how to calculate freelance rate","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","low","P2"
"PRI-006","freelancer hourly vs project pricing","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","low","P2"
"PRI-007","how to quote freelance project","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","low","P2"
"PRI-008","freelance pricing formula","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-009","freelance pricing model","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-010","how much should I charge freelancer","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","low","P2"
"PRI-011","freelance project pricing","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-012","freelance rate benchmark","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-013","freelance design pricing","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-014","freelance copywriting pricing","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-015","freelance developer rates","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-016","pricing freelance services","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-017","how to set freelance rates","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","low","P2"
"PRI-018","increase freelance pricing","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-019","freelancer price guide","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","medium","P2"
"PRI-020","how to avoid underpricing freelance","pricing-strategy","quote-and-rate-setting","/pricing","user_seed","guide","4","low","P2"
"PRI-021","freelance pricing template","pricing-strategy","quote-and-rate-setting","/pricing","programmatic_expand","template","5","medium","P1"
"PRI-022","how to build a freelance pricing package","pricing-strategy","quote-and-rate-setting","/pricing","programmatic_expand","guide","4","low","P2"
"PRI-023","project based pricing for freelancers","pricing-strategy","quote-and-rate-setting","/pricing","programmatic_expand","guide","4","low","P2"
"PRI-024","freelance quote calculator","pricing-strategy","quote-and-rate-setting","/pricing","programmatic_expand","tool","5","medium","P1"
"COM-001","client not responding freelancer","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P1"
"COM-002","client ghosting freelancer","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","medium","P1"
"COM-003","how to follow up client freelancer","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-004","client ignoring proposal","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","medium","P2"
"COM-005","client slow to respond","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-006","freelancer follow up email","client-communication","client-follow-up-and-clarity","/deal","user_seed","template","5","low","P1"
"COM-007","how to follow up client after quote","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-008","client not replying message","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P1"
"COM-009","how to remind client politely","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-010","freelance client communication","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","medium","P2"
"COM-011","how to ask client decision","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-012","follow up email after proposal","client-communication","client-follow-up-and-clarity","/deal","user_seed","template","5","low","P1"
"COM-013","how to message potential client","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-014","client delayed response freelancer","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-015","client taking too long to reply","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-016","freelancer follow up script","client-communication","client-follow-up-and-clarity","/deal","user_seed","template","5","low","P1"
"COM-017","how to ask client feedback","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-018","freelance communication tips","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","medium","P2"
"COM-019","how to restart conversation client","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-020","client stopped responding freelancer","client-communication","client-follow-up-and-clarity","/deal","user_seed","guide","4","low","P2"
"COM-021","follow up message when client stops replying","client-communication","client-follow-up-and-clarity","/deal","programmatic_expand","guide","4","low","P2"
"COM-022","email script when client ignores proposal","client-communication","client-follow-up-and-clarity","/deal","programmatic_expand","template","5","low","P1"
"COM-023","how to follow up without sounding pushy","client-communication","client-follow-up-and-clarity","/deal","programmatic_expand","guide","4","low","P2"
"COM-024","client communication script for freelancers","client-communication","client-follow-up-and-clarity","/deal","programmatic_expand","template","5","low","P1"
"PRO-001","freelance proposal template","proposal-and-close","proposal-conversion","/scope","user_seed","template","5","medium","P1"
"PRO-002","how to write freelance proposal","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","low","P2"
"PRO-003","freelance proposal example","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","medium","P2"
"PRO-004","freelance proposal email","proposal-and-close","proposal-conversion","/scope","user_seed","template","5","medium","P1"
"PRO-005","winning freelance proposal","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","medium","P2"
"PRO-006","freelance pitch template","proposal-and-close","proposal-conversion","/scope","user_seed","template","5","medium","P1"
"PRO-007","proposal example freelancer","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","medium","P2"
"PRO-008","client proposal script","proposal-and-close","proposal-conversion","/scope","user_seed","template","5","medium","P1"
"PRO-009","how to send freelance quote","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","low","P2"
"PRO-010","freelance proposal structure","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","medium","P2"
"PRO-011","freelancer pitch email","proposal-and-close","proposal-conversion","/scope","user_seed","template","5","medium","P1"
"PRO-012","how to convince client freelancer","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","low","P2"
"PRO-013","proposal writing freelancer","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","medium","P2"
"PRO-014","how to present freelance quote","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","low","P2"
"PRO-015","proposal negotiation freelancer","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","medium","P2"
"PRO-016","freelance proposal tips","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","medium","P2"
"PRO-017","freelance bid template","proposal-and-close","proposal-conversion","/scope","user_seed","template","5","medium","P1"
"PRO-018","freelance project proposal example","proposal-and-close","proposal-conversion","/scope","user_seed","guide","4","low","P2"
"PRO-019","proposal follow up email","proposal-and-close","proposal-conversion","/scope","user_seed","template","5","low","P1"
"PRO-020","proposal response script","proposal-and-close","proposal-conversion","/scope","user_seed","template","5","medium","P1"
"PRO-021","freelance proposal outline","proposal-and-close","proposal-conversion","/scope","programmatic_expand","guide","4","medium","P2"
"PRO-022","proposal template for freelance clients","proposal-and-close","proposal-conversion","/scope","programmatic_expand","template","5","low","P1"
"PRO-023","how to write a winning proposal freelancer","proposal-and-close","proposal-conversion","/scope","programmatic_expand","guide","4","low","P2"
"PRO-024","freelance quote email template","proposal-and-close","proposal-conversion","/scope","programmatic_expand","template","5","low","P1"
"RAT-001","how to raise freelance rates","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-002","increase freelance rate","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","medium","P2"
"RAT-003","how to charge more freelancer","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-004","freelancer negotiation tactics","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","medium","P2"
"RAT-005","freelancer salary negotiation","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","medium","P2"
"RAT-006","how to justify higher rate","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-007","how to charge premium freelancer","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-008","freelance rate increase email","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","template","5","low","P1"
"RAT-009","how to renegotiate freelance contract","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-010","negotiating freelance contract","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","medium","P2"
"RAT-011","how to ask for higher pay freelance","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-012","increase freelance pricing strategy","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-013","freelance value pricing","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","medium","P2"
"RAT-014","premium freelance pricing","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","medium","P2"
"RAT-015","negotiating project rate","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","medium","P2"
"RAT-016","how to increase freelance income","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-017","how to position premium freelancer","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-018","freelance price objection handling","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-019","freelance negotiation framework","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","medium","P2"
"RAT-020","how to charge more clients","rate-increase-negotiation","rate-growth-negotiation","/pricing","user_seed","guide","4","low","P2"
"RAT-021","rate increase script for freelance clients","rate-increase-negotiation","rate-growth-negotiation","/pricing","programmatic_expand","template","5","low","P1"
"RAT-022","how to announce freelance rate increase","rate-increase-negotiation","rate-growth-negotiation","/pricing","programmatic_expand","guide","4","low","P2"
"RAT-023","freelance contract renegotiation email","rate-increase-negotiation","rate-growth-negotiation","/pricing","programmatic_expand","template","5","low","P1"
"RAT-024","how to raise rates without losing clients","rate-increase-negotiation","rate-growth-negotiation","/pricing","programmatic_expand","guide","4","low","P2"
